,0,1
0,0.9453406899812864,1.0
1,0.7375560900220238,1.0
2,0.9647249802755499,1.0
3,0.8992246843886701,1.0
4,0.5702073012693892,1.0
5,0.3195736083701347,1.0
6,0.6328258531278175,1.0
7,0.4137727796899565,1.0
8,0.22461871454833726,1.0
9,0.6370797175697492,1.0
10,0.9968525030397447,1.0
11,0.5610128521618885,1.0
12,0.5571441755953207,1.0
13,0.8601180076452514,1.0
14,0.7029014355115335,1.0
15,0.29916804438506606,1.0
16,0.6021677193376728,1.0
17,0.21529204657142986,1.0
18,0.05044342432611393,1.0
19,0.5743625629515265,1.0
20,0.8889976415639349,1.0
21,0.9347214251256697,1.0
22,0.3158402573155116,1.0
23,0.004331160462560879,1.0
24,0.39472441054141194,1.0
25,0.998850076193886,1.0
26,0.6566663718234077,1.0
27,0.07169737397865306,1.0
28,0.9906398850859817,1.0
29,0.1828837871303859,1.0
30,0.7465994009068568,1.0
31,0.2079645676254367,1.0
32,0.4889239738718305,1.0
33,0.5089441984656403,1.0
34,0.014626663236397164,1.0
35,0.39291240556982476,1.0
36,0.7308070213445614,1.0
37,0.7506414764527318,1.0
38,0.28830893537899804,1.0
39,0.20486066554310378,1.0
